"Campaign Name","Ad Set Name","Ad Name","Time of Day (Viewer's Time Zone)",Day,Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (INR)","Cost per Result",Starts,Ends,"Result Rate","Clicks (All)","CTR (All)","CPM (Cost per 1,000 Impressions)","Reporting Starts","Reporting Ends"
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","13:00:00 - 13:59:59",2020-09-15,485,485,1,,,59.96,,2020-09-13,Ongoing,,9,1.8556701,123.62886598,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","15:00:00 - 15:59:59",2020-09-15,499,499,1,"On-Facebook Leads",2,68.68,34.34,2020-09-13,Ongoing,0.40080160320641,10,2.00400802,137.63527054,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","16:00:00 - 16:59:59",2020-09-15,475,475,1,,,74.58,,2020-09-13,Ongoing,,13,2.73684211,157.01052632,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","18:00:00 - 18:59:59",2020-09-15,20,20,1,"On-Facebook Leads",1,2.04,2.04,2020-09-13,Ongoing,5,2,10,102,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","03:00:00 - 03:59:59",2020-09-15,99,99,1,,,17.12,,2020-09-13,Ongoing,,4,4.04040404,172.92929293,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","04:00:00 - 04:59:59",2020-09-15,105,105,1,,,16.47,,2020-09-13,Ongoing,,2,1.9047619,156.85714286,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","02:00:00 - 02:59:59",2020-09-15,124,125,1.008064516129,,,18.46,,2020-09-13,Ongoing,,7,5.6,147.68,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","01:00:00 - 01:59:59",2020-09-15,152,153,1.0065789473684,,,28.02,,2020-09-13,Ongoing,,7,4.5751634,183.1372549,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","20:00:00 - 20:59:59",2020-09-15,196,197,1.0051020408163,,,32.93,,2020-09-13,Ongoing,,3,1.52284264,167.15736041,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","17:00:00 - 17:59:59",2020-09-15,220,221,1.0045454545455,,,30.68,,2020-09-13,Ongoing,,4,1.80995475,138.82352941,2020-09-15,2020-09-15
